"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Direct vs. Indirect","Unspecified","Intrusion frequency","Intrusion diary","yes","76","1","1","1","-0.25"," [-0.87, 0.36]",NA,"-0.807943","0.419124"
"Indirect","Unspecified","Intrusion frequency","Intrusion diary","yes","753","11","12","19","0.11"," [-0.05, 0.26]",NA,"1.331469","0.183035"
"Moderation Analysis: Step4b_Task_Instruction","Unspecified","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.234",NA,"0.629"
"Instruction","Unspecified","Intrusion frequency","Intrusion diary","no","606","6","6","6","0.05"," [-0.21, 0.31]",NA,"0.402042","0.687653"
"Task","Unspecified","Intrusion frequency","Intrusion diary","no","1838","22","23","40","0.12"," [0.01, 0.24]",NA,"2.096519","0.036036"
"Moderation Analysis: Step4b_Task_Instruction","Unspecified","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.234",NA,"0.629"
"Instruction","Unspecified","Intrusion frequency","Intrusion diary","yes","606","6","6","6","0.05"," [-0.21, 0.31]",NA,"0.402042","0.687653"
"Task","Unspecified","Intrusion frequency","Intrusion diary","yes","1838","22","23","40","0.12"," [0.01, 0.24]",NA,"2.096519","0.036036"
"Moderation Analysis: TraumaStimuliType","Unspecified","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.667",NA,"0.717"
"Audio","Unspecified","Intrusion frequency","Intrusion diary","no","212","3","3","5","0.19"," [-0.17, 0.56]",NA,"1.032580","0.301801"
"Film","Unspecified","Intrusion frequency","Intrusion diary","no","1978","22","23","41","0.09"," [-0.03, 0.21]",NA,"1.465056","0.142906"
"Picture","Unspecified","Intrusion frequency","Intrusion diary","no","166","2","2","3","-0.02"," [-0.39, 0.34]",NA,"-0.122013","0.902889"
"Moderation Analysis: TraumaStimuliType","Unspecified","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.858",NA,"0.651"
"Audio","Unspecified","Intrusion frequency","Intrusion diary","yes","212","3","3","5","0.19"," [-0.16, 0.54]",NA,"1.083799","0.278454"
"Film","Unspecified","Intrusion frequency","Intrusion diary","yes","1978","22","23","39","0.12"," [0.01, 0.24]",NA,"2.088806","0.036725"
"Picture","Unspecified","Intrusion frequency","Intrusion diary","yes","166","2","2","3","-0.02"," [-0.36, 0.32]",NA,"-0.139458","0.889088"
"Moderation Analysis: ComparisonType","Unspecified","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.184",NA,"0.668"
"Experimental task","Unspecified","Intrusion frequency","Intrusion diary","no","795","10","11","15","0.06"," [-0.12, 0.24]",NA,"0.626178","0.531198"
"No-task","Unspecified","Intrusion frequency","Intrusion diary","no","1561","17","17","34","0.11"," [-0.03, 0.24]",NA,"1.552539","0.120533"
"Moderation Analysis: ComparisonType","Unspecified","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.044",NA,"0.834"
"Experimental task","Unspecified","Intrusion frequency","Intrusion diary","yes","795","10","11","13","0.13"," [-0.05, 0.31]",NA,"1.429478","0.152867"
